Name	..NM89_RPMI_salmon.quant.sf	..NM90_RPMI_HS5_salmon.quant.sf	..NM91_MM1S_salmon.quant.sf	..NM92_MM1S_HS5_salmon.quant.sf	..NM95_KMS11_salmon.quant.sf	..NM96_KMS11_HS5_salmon.quant.sf
LINC01287	19685.74	17359.18	47.02	67.0639	5.01	20.01
LINC01289	26.9616	27.9232	32.8757	12.2376	4.24064	7.120660000000001
LINC01291	798.1843	580.0661	1.01	47.0578	165.2751	119.10055
LINC01293	20.01	41.01	5.0344	15.01	1.01	4.01
LINC01296	25179.299	20540.686	4465.26954	6928.9072	1072.36128	1160.04702
LINC01297	1220.1158	1080.7485	210.56400000000002	251.7321	84.3926	100.06700000000001
LINC01301	114.5277	68.08511	44.0164	44.6987	23.61938	35.238609999999994
LINC01307	20.5796	21.15716	13.0611	37.507	4.1422	4.02798
LINC01311	25.01	34.01	62.01	109.01	24.01	31.01
LINC01312	23.2399	28.01	10.7558	12.01	5.01	2.01
LINC01314	31.1037	58.121	21.3361	25.7788	6.23079	9.21718
LINC01317	102.45852	81.4871	3.2939999999999996	17.4563	2.03618	4.02283
LINC01318	25.3073	37.2753	12.9164	32.7482	2.06026	6.0932699999999995
LINC01320	57.9995	97.81612	9.9761	6.30759	1.0308899999999999	9.05609
LINC01322	29.7084	42.316	1.03154	9.06637	8.91538	4.5331
LINC01344	17.6776	17.349	8.75504	22.3676	1.50623	3.13311
LINC01347	177.38299999999998	150.72263999999998	177.38	167.40200000000002	26.8342	30.55612
LINC01348	22.4413	84.2481	15.7077	9.28694	3.03262	7.57412
LINC01353	79.02	44.0434	87.02	151.02	8.01	20.020020000000002
LINC01355	411.336	264.082	119.45	187.602	21.3995	49.0766
LINC01358	299.79089	436.55732	211.49979	421.90299000000005	17.69947	45.68308
LINC01359	198.1059	166.5343	99.5455	163.4642	20.33434	24.4517
LINC01360	46.2629	24.08061	1.07619	13.0853	1.01091	1.0117399999999999
LINC01361	85.3753	44.3858	17.2675	32.2323	2.01	5.33289
LINC01372	68.0237	49.7486	20.2854	11.3853	4.88194	5.3442099999999995
LINC01375	17.01	17.2262	13.9484	10.0359	2.01	1.01
